title price
"Hậu Cung Chân Hoàn Truyện - Tập 2" 91630
"Cô Gái Văn Chương – Tập 3: Cô Gái Văn Chương Và..." 56580
"Cứu Với, Xin Tha Thứ" 62400
"Hồ Đồ" 97020
"Khát Vọng Đổi Đời" 78400
"Sứ Giả Yêu Thương" 98550
"Trung Tâm Phục Hồi Cảm Xúc Hậu Thất Tình" 56250
"Chỉ Tại Vợ Tôi Gợi Tình" 43200
"Long Lâu Yêu Quật" 76650
"Phía Sau Một Lời Thề" 71540
"Đứa Trẻ Thứ 44" 
"Bí Mật Vượt Thời Gian - Tập 2" 89700
"Thực Ra, Em Đã Rất Nhớ Anh" 61620
"Biến Mất" 57670
"Lạc Vào Tình Anh" 71540
"Em Không Muốn Có Baby" 78400
"Rabbit Ơi, Chạy Đi" 73600
"Cô Gái Văn Chương – Tập 4: Cô Gái Văn Chương Và..." 56580
"Ngày Dài Hơn 24 Giờ" 46020
"Tình Yêu Tình Yêu" 48180
"Nữ Hoàng Tạo Mẫu Tóc" 69350
"Mê Hồn Ca" 38400
"Phá Án Ư? Cứ Để Sau Bữa Tối - Tập 1" 50400
"Phá Án Ư? Cứ Để Sau Bữa Tối - Tập 2" 53600
"Phố Những Cửa Hiệu U Tối" 54400
"Tình Nhân Không Bao Giờ Đòi Cưới" 49500
"Lang Gia Bảng 2" 91630
"Lang Gia Bảng 3" 97020
"Người Đàn Ông Đến Từ Bắc Kinh" 
"Lều Chõng" 64240
"Mẹ Ơi Con Sẽ Lại Về" 56000
"Công Tử Vô Sỉ (Tập 2)" 74100
"Mùa Yêu Đầu" 
"Trăng Đêm (Tập 2)" 91250
"Lật Mở Thiên Thu - Tập 1" 100620
"Another (trọn bộ 2 tập)" 120000
"Dỡ Mắm – Di Cảo" 135300
"Phòng Trọ Ba Người: Truyện Dài" 47790
"Dấu Hiệu Athena (Tái Bản)" 108420
"Ngôi Nhà Của Thần Hades (Tái Bản 2014)" 116070
"Thức Tỉnh - Phần 2 Series Sức Mạnh Hắc Ám (2014)" 72270
"Huyền Thoại" 65600
"Tiệc Báo Thù" 88000
"Tam Sinh Tam Thế Thập Lý Đào Hoa " 81750
"Bảy Bước Tới Mùa Hè" 
"Giữa Đôi Ngả Yêu Thương" 46500
"Những Nụ Hôn Điện Ảnh" 46400
"Nửa Kiếp Hồng Trần, Một Khúc Du Ca" 60830
"Qua Mùa Nhớ Gặp Mùa Thương" 53820
"Sự Dịu Dàng Khó Cưỡng" 60830
"Kira - Kira" 45100
"Những Con Chim Ẩn Mình Chờ Chết" 118900
"Sơn Nam - Phong Trào Duy Tân Ở Bắc Trung Nam" 79380
"Người Thứ Hai" 71280
"Những Câu Chuyện Thành Rome" 57400
"Ame Và Yuki - Những Đứa Con Của Sói " 48000
"Bữa Trưa Tình Yêu (Tái Bản 2015)" 81750
"Trên Sa Mạc Và Trong Rừng Thẳm" 74250
"Toái Long Môn" 96250
"Sơn Nam - Gốc Cây, Cục Đá Và Ngôi Sao - Danh Thắng Miền Nam" 61500
"Vẻ Đẹp Ngôi Ngữ, Vẻ Đẹp Văn Chương" 61500
"Đến Phủ Khai Phong Làm Nhân Viên Công Vụ - 4A" 
"Luật Ngầm" 57600
"Sơn Nam - Dạo Chơi Tuổi Già" 73800
"Gulliver Du Ký" 66750
"Oliver Twist" 81750
"Caro Xương Cá" 59280
"Bố Già" 97500
"Sword Art Online 001 (Sao 1) - Tập 1- AINCRAD" 71250
"Cửa Hiệu Giặt Là" 40150
"Đến Phủ Khai Phong Làm Nhân Viên Công Vụ - Tập 3 (A&B)" 131400
Đảo 44000
"Quốc Văn Giáo Khoa Thư" 96000
"Đạo Tình - Tập 2" 86870
"24 Sắc Màu Con Gái" 49200
"Thâu Thiên Cung" 76230
"Thiết Hồn Ảnh" 34650
"Chờ Em Đến San Francisco" 61500
"Khi Lỗi Thuộc Về Những Vì Sao" 73500
"Út Quyên Và Tôi" 29160
"Người Đàn Bà Và Những Giấc Mơ" 34650
"Anh Chàng Ngu Ngơ Và Cô Nàng Rắc Rối" 72270
"Bệnh Tình Yêu" 92000
"Tam Sinh Tam Thể - Chẩm Thượng Thư - Tập 2 (2A+2B)" 115340
"Yêu Lại Từ Đầu" 60000
"Tạp Bút Năm Giáp Tuât 1994" 98400
"Kim Tự Tháp Đỏ (Tái bản)" 110250
"Đông Chu Liệt Quốc Tập 2" 
"Cố Chấp Yêu" 36000
"Bồ Câu Chung Mái Vòm" 61500
"Tiếng Thời Gian Du Dương" 83930
"Tình Yêu Kiên Cường Hơn Cái Chết" 83160
"Văn Sĩ Điên Cuồng - Tập 1" 76650
"Oliver Twist (Bộ 2 quyển)" 74750
"Mệnh Phượng Hoàng - Tập 2" 83160
"Lớn Lên Trên Đảo Vắng" 36400
"Ngựa Ô Yêu Dấu" 27300
"Bởi Sài Gòn Nhiều Nắng" 68530
"Venise Và Những Cuộc Tình Gondola" 72900
"Ngã Tư Mưa Ngã Vào Đâu Cũng Nhớ" 30030
"Bồ Câu Không Đưa Thư - Tái Bản" 41360
"Đất Gia Định - Bến Nghé Xưa Và Người Sài Gòn" 86920
"Hãy Nhắm Mắt Khi Anh Đến - Tập 2" 102340
"Bong Bóng Lên Trời" 37260
"Sherlock Holmes - Tập 2 - Vụ Án Viên Ngọc Xanh" 27200
"Trái Tim Em Thuộc Về Đất" 68640
"Hương Rừng Cà Mau" 164000
"Nhiều Cách Sống" 55440
"Sơn Nam - 4 Truyện Vừa" 61500
"Bóng Của Cây Sồi" 49140
"Chúc Một Ngày Tốt Lành" 79200
"Buồn Làm Sao Buông" 
"Nữ Sinh" 34830
"Thiên Thần Nhỏ Của Tôi " 30780
"Quán Gò Đi Lên " 54560
"Hoa Hồng Xứ Khác" 58080
